titulo,link,descricao,fonte,data_publicacao,fim_inscricao,situacao,extras
CP 09/26: Interconexões Catalunha,https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2026-04/cp_09-2026_intercon_catalunha.pdf,CP 09/26: Interconexões Catalunha,Fundação Araucária,,,Aberto,"{'anexos': [{'nome': 'CP 09/2026 - Anexos', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2026-04/cp_09-2026_intercon_catalunha_-_anexos.docx'}], 'fonte_original': 'https://www.fappr.pr.gov.br/Programas-Abertos', 'tipo_chamada': 'CP 09/26'}"
CP 05/26: Eventos - ASI (jul/26 - jan/27),https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2026-03/cp_05-2026_eventos_associacoes_1.pdf,"A ""CP 05/2026 - Programa de Apoio Institucional para Organização de Eventos Técnico-Científicos e de Inovação: Edição Associações Técnico-Científicas ou Sociedades Técnico-Científicas e Institutos de Pesquisa sem fins lucrativos"", visa apoiar a organização de eventos entre 01 de julho de 2026 e 31 de janeiro de 2027.”",Fundação Araucária,2026-07-01,,Aberto,"{'anexos': [{'nome': 'CP 05/2026 - Anexos', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2026-03/cp_05-2026_eventos_associacoes_-_anexos_0.docx'}], 'fonte_original': 'https://www.fappr.pr.gov.br/Programas-Abertos', 'tipo_chamada': 'CP 05/26'}"
CP 04/26: Interconexões Brasillinois,https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2026-03/cp_04-2026_intercon_illinois.pdf,CP 04/26: Interconexões Brasillinois,Fundação Araucária,,,Aberto,"{'anexos': [{'nome': 'CP 04/2026 - Anexos', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2026-03/cp_04-2026_intercon_illinois_-_anexos.docx'}], 'fonte_original': 'https://www.fappr.pr.gov.br/Programas-Abertos', 'tipo_chamada': 'CP 04/26'}"
CP 15/24: Permanência de Ucranianos,https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2024-06/cp_15-2024_permanencia_pesq_ucranianos.pdf,"A ""Chamada Pública 15/2024 - Programa de Permanência de Cientistas Ucranianos (Fluxo Contínuo)"" visa apoiar cientistas ucranianos no Paraná, por meio da CP 09/2022, para desenvolverem pesquisas por um período de dois anos.",Fundação Araucária,,,Aberto,"{'anexos': [{'nome': 'CP 15/2024: Anexos', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2024-06/cp_15-2024_permanencia_pesq_ucranianos_anexos.docx'}, {'nome': 'Ato DEFA 231/2024: Adequação', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2024-11/atodefa2312024cp152024cientistasucranianosadequacaodevalor.pdf_-_atodefa2312024cp152024cientistasucranianosadequacaodevalor.pdf'}, {'nome': 'Ato DEFA 181/2024: 1º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2024-09/atodefa1812024cp152024cientistasucranianos1resultado.pdf_-_atodefa1812024cp152024cientistasucranianos1resultado.pdf'}, {'nome': 'Ato DEFA 220/2024: 2º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2024-10/atodefa2202024cp152024cientistasucranianos2resultado.pdf_-_atodefa2202024cp152024cientistasucranianos2resultado.pdf'}, {'nome': 'Ato DEFA 249/2024: 3º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2024-12/atodefa2492024cp152024cientistasucranianos3resultado.pdf_-_atodefa2492024cp152024cientistasucranianos3resultado.pdf'}, {'nome': 'Ato DEFA 058/2025: 4º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-04/atodefa0582025cp152024cientistasucranianos4resultado_0.pdf'}, {'nome': 'Ato DEFA 085/2025: 5º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-05/atodefa0852025cp152024cientistasucranianos5resultado.pdf_-_atodefa0852025cp152024cientistasucranianos5resultado.pdf'}, {'nome': 'Ato DEFA 136/2025: 6º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-07/atodefa1362025cp152024cientistasucranianos6resultado.pdf_-_atodefa1362025cp152024cientistasucranianos6resultado.pdf'}, {'nome': 'Ato DEFA 147/2025: 7º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-07/atodefa1472025cp152024cientistasucranianos7resultado.pdf_-_atodefa1472025cp152024cientistasucranianos7resultado.pdf'}, {'nome': 'Ato DEFA 035/2026: 8° Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2026-03/atodefa0352026cp152024cientistasucranianos8resultado.pdf'}, {'nome': 'Ato DEFA 045/2026: 9° Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2026-04/atodefa0452026cp152024cientistasucranianos9resultado1.pdf'}], 'fonte_original': 'https://www.fappr.pr.gov.br/Programas-Abertos', 'tipo_chamada': 'CP 15/24'}"
CP 10/22: Universidades Amig@s: Ucrânia,https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2022-04/cp_10-2022_-_extensao_ucranianos.pdf,"A ""Chamada Pública 10/2022 - Programa Institucional Universidades Amig@s: Acolhimento Extensionista aos Cientistas Ucranianos (Fluxo Contínuo)"", visa prestar acolhimento social em forma de apoio nas atividades cotidianas dos pesquisadores ucranianos e suas famílias, por meio da extensão científica, em cada universidade acolhedora.",Fundação Araucária,,,Aberto,"{'anexos': [{'nome': 'CP 10/2022: Anexos', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2022-04/anexos_10.docx'}, {'nome': 'CP 10/2022: 1ª Demanda Adicional', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2022-05/n_-_1_demanda_cp_ext_ucranianos_16.05.pdf'}, {'nome': 'CP 10/2022: 1ª DA - Anexos', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2022-05/anexos_1.docx'}, {'nome': 'Ato da DEFA 093/2022: 1º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2022-06/ato_defa_093-2022_-_cp1020221demandaadicionalresultado_0.pdf'}, {'nome': 'Ato da DEFA 112/2022: 2º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2022-07/ato_defa_111-20221_-_resultadocp102022acolhimentoextensionistaaoscientistasucranianos_0.pdf'}, {'nome': 'Ato da DEFA 002/2023: 3º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2023-01/atodefa0022023cp102022acolhimentoextensionistaaoscientistasucranianos4resultado_0.pdf'}, {'nome': 'Ato da DEFA 018/2023: Adequação', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2023-02/atodefa0182023adequacaonoperiododeexecucaocp102022_1.pdf'}, {'nome': 'Ato da DEFA 147/2023: 4º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2023-09/atodefa1472023cp102022acolhimentoextensionistaaoscientistasucranianos5resultado.pdf'}, {'nome': 'Ato da DEFA 191/2023: 5º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2023-12/atodefa1912023cp102022acolhimentoextensionistaaoscientistasucranianos6resultado.pdf'}, {'nome': 'Ato da DEFA 037/2024: 6º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2024-03/atodefa0372024cp102022acolhimentoextensionistaaoscientistasucranianos7resultado.pdf_-_atodefa0372024cp102022acolhimentoextensionistaaoscientistasucranianos7resultado.pdf'}, {'nome': 'Ato da DEFA 077/2025: 7º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-05/atodefa0772025cp102022acolhimentoextensionistaaoscientistasuc.ultado.pdf_-_atodefa0772025cp102022acolhimentoextensionistaaoscientistasuc.ultado.pdf'}, {'nome': 'Ato da DEFA 191/2025: 8º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-09/atodefa1912025cp102022acolhimentoextensionistaaoscientistasucranianos9resultado.pdf_-_atodefa1912025cp102022acolhimentoextensionistaaoscientistasucranianos9resultado.pdf'}], 'fonte_original': 'https://www.fappr.pr.gov.br/Programas-Abertos', 'tipo_chamada': 'CP 10/22'}"
CP 09/22: Acolhida a Ucranianos,https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2022-04/cp_09-20222_-_cientistas_ucranianas.pdf,"A ""Chamada Pública 09/2022 - Programa de Acolhida a Cientistas Ucranianos (Fluxo Contínuo)"", visa apoio financeiro às ICTs na acolhida de pesquisadoras ucranianas (e pesquisadores sêniors) para atuar nos PPGs; beneficiar a inclusão das cientistas na comunidade paranaense; colaborações conjuntas futuras para a reconstrução e fortalecimento da economia ucraniana por meio da ciência e inovação em parceria com o Paraná.",Fundação Araucária,,,Aberto,"{'anexos': [{'nome': 'CP 09/2022: Anexos', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2022-04/anexos_5.docx'}, {'nome': 'Ato da DEFA 053/2022: Adequação', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2022-04/ato_defa_053-2022_-_adequacaocp092022ucrania_0.pdf'}, {'nome': 'Ato DEFA 247/2025: Divulgação do Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-12/atodefa2472025cp092022cientistasucranianos17resultado.pdf'}, {'nome': 'Ato da DEFA 054/2022: 1º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2022-04/ato_defa_054-2022_-_cp092022ucranianos1304_0.pdf'}, {'nome': 'Ato da DEFA 068/2022: 2º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2022-05/ato_defa_068-2022_-_cp_09-2022_cientistas_ucranianos_2o_resultado_1.pdf'}, {'nome': 'Ato da DEFA 085/2022: 3º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2022-05/ato_defa_085-2022_-_cp092022cientistasucranianos3resultado_0.pdf'}, {'nome': 'Ato da DEFA 109/2022: 4º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2022-06/ato_defa_109-2022_-_cp092022cientistasucranianos4resultado_0.pdf'}, {'nome': 'Ato da DEFA 142/2022: 5° Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2022-12/ato_defa_142-2022_-_cp_09-2022_cientistas_ucranianos_5o_resultado_1.pdf'}, {'nome': 'Ato da DEFA 111/2022: 6º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2022-07/ato_defa_112-2022_-_cp092022alteracao3resultadocientistasucranianos_0.pdf'}, {'nome': 'Ato da DEFA 001/2023: 7º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2023-01/atodefa0012023cp092022cientistasucranianos7resultado_2_0.pdf'}, {'nome': 'Ato da DEFA 004/2023: Cancelamento de Projeto', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2023-01/atodefa0042023cancelamentodeprojetoaprovadocp092022_0.pdf'}, {'nome': 'Ato da DEFA 012/2023: Adequação', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2023-03/atodefa0122023cp092022adequacaodeitemnachamadapublica_1.pdf'}, {'nome': 'Ato da DEFA 043/2023: 8º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2023-04/atodefa0432023cp092022cientistasucranianos8resultado.pdf'}, {'nome': 'Ato da DEFA 052/2023: 9º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2023-04/atodefa0522023cp092022cientistasucranianos9resultado.pdf'}, {'nome': 'Ato da DEFA 123/2023: 10º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2023-08/atodefa1232023cp092022cientistasucranianos10resultado.pdf'}, {'nome': 'Ato da DEFA 146/2023: 11º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2023-09/atodefa1462023cp092022cientistasucranianos11resultado.pdf'}, {'nome': 'Ato da DEFA 038/2024: 12º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2024-03/atodefa0382024cp092022cientistasucranianos12resultado.pdf_-_atodefa0382024cp092022cientistasucranianos12resultado.pdf'}, {'nome': 'Ato da DEFA 042/2024: Alteração no Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2024-03/atodefa0422024cp092022alteracaonovalordoresultado.pdf_-_atodefa0422024cp092022alteracaonovalordoresultado.pdf'}, {'nome': 'Ato da DEFA 180/2024: 13º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2024-09/atodefa1802024cp092022cientistasucranianos13resultado.pdf_-_atodefa1802024cp092022cientistasucranianos13resultado.pdf'}, {'nome': 'Ato da DEFA 217/2024: 14º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2024-10/atodefa2172024cp092022cientistasucranianos14resultado.pdf_-_atodefa2172024cp092022cientistasucranianos14resultado.pdf'}, {'nome': 'Ato da DEFA 251/2024: 15º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2024-12/atodefa2512024cp092022cientistasucranianos15resultado.pdf_-_atodefa2512024cp092022cientistasucranianos15resultado.pdf'}, {'nome': 'Ato da DEFA 185/2025: 16º Resultado', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-08/atodefa1852025cp092022cientistasucranianos16resultado.pdf_-_atodefa1852025cp092022cientistasucranianos16resultado.pdf'}], 'fonte_original': 'https://www.fappr.pr.gov.br/Programas-Abertos', 'tipo_chamada': 'CP 09/22'}"
CP 19/25. Parceria Renault,https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-12/cp_19-2025_renault.pdf,"A ""CP 19/2025 - Programa de Bolsas Fundação Araucária & Renault do Brasil "", visa incentivar a articulação entre Instituições Científicas e Tecnológicas e de Inovação do Paraná e a Renault do Brasil, oportunizando parceria na formação de futuros profissionais em práticas diferenciadas relacionadas ao universo do setor automotivo.",Fundação Araucária,,,Aberto,"{'anexos': [{'nome': 'CP 19/2025: Anexos', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-12/cp_19-2025_renault_anexos.docx'}, {'nome': 'Ato DEFA 031/2026: Propostas Inelegíveis', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2026-03/atodefa0312026cp192025farenaultresultadodainelegibilidade_0.pdf'}, {'nome': 'Ato DEFA 036/2026: Propostas Elegíveis', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2026-03/atodefa0362026cp192025farenaultresultadodaelegibilidade.pdf'}], 'fonte_original': 'https://www.fappr.pr.gov.br/Pagina/Programas-2025', 'tipo_chamada': 'Chamada'}"
CP 18/25. Interconexões: Japão,https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-10/cp_18-2025_intercon_japao.pdf,CP 18/25. Interconexões: Japão,Fundação Araucária,,,Aberto,"{'anexos': [{'nome': 'CP 18/2025 - CP Inter Japão', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-10/cp_18-2025_intercon_japao.pdf'}, {'nome': 'CP 18/2025 - Anexos', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-10/cp_18-2025_intercon_japao_anexos_0.docx'}, {'nome': 'Ato DEFA 226/2025: Alteração de Cronograma', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-11/ato_defa_226-2025_cp_-_18-2025_alteracao_cronograma_interconjapao.pdf'}, {'nome': 'Ato DEFA 002/2026: Alteração de Cronograma', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2026-01/atodefa0022026alteracaocronogramajapao.pdf_-_atodefa0022026alteracaocronogramajapao_0.pdf'}, {'nome': 'Ato DEFA 024/2026: Propostas Elegíveis', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2026-02/atodefa0242026resultadodaelegibilidadecp182025interconexoesjapao.pdf'}], 'fonte_original': 'https://www.fappr.pr.gov.br/Pagina/Programas-2025', 'tipo_chamada': 'CP 18/25. Interconexões'}"
CP 17/25. Eventos - IES (fev/26 - jan/27),https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-10/cp_17-2025_eventos_ies_0.pdf,"A ""CP 17/2025 - Programa de Apoio Institucional para Organização e Participação em Eventos Técnico-Científicos Edição Instituições de Ensino Superior"", visa apoio financeiro às Instituições de Ensino Superior, para participação e organização de eventos científicos e tecnológicos, a serem realizados no período de fevereiro de 2026 a janeiro de 2027, promovendo a disseminação da produção científica, tecnológica e de inovação.",Fundação Araucária,,,Aberto,"{'anexos': [{'nome': 'CP 17/2025 - CP Eventos IES', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-10/cp_17-2025_eventos_ies_0.pdf'}, {'nome': 'CP 17/2025 - Anexos', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-10/cp_17-2025_eventos_ies_anexos_1.docx'}, {'nome': 'Ato DEFA 239/2025: Relevância', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-12/atodefa2392025cp172025orgpartdasiesresultadoderelevancia.pdf'}, {'nome': 'Ato DEFA 245/2025: Resultado Final', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-12/atodefa2452025cp172025resultadofinal.pdf'}, {'nome': 'Ato DEFA 034/2026: Suplementação de Recursos Financeiros e Autorização de Item Financiável', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2026-03/atodefa0342026cp172025suplementacaoeautorizacao.pdf'}], 'fonte_original': 'https://www.fappr.pr.gov.br/Pagina/Programas-2025', 'tipo_chamada': 'Chamada'}"
CP 16/25: Eventos - ASI (nov/25 - jun/26),https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-08/cp_16-2025_eventos_associacoes_ii.pdf,"A ""CP 16/2025 - Programa de Apoio Institucional para Organização de Eventos Técnico-Científicos e de Inovação: Edição Associações Técnico-Científicas ou Sociedades Técnico-Científicas e Institutos de Pesquisa sem fins lucrativos"", visa apoiar a organização de eventos entre novembro de 2025 e junho de 2026.”",Fundação Araucária,,,Aberto,"{'anexos': [{'nome': 'CP 16/2025 - CP Eventos ASI', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-08/cp_16-2025_eventos_associacoes_ii.pdf'}, {'nome': 'CP 16/2025 - Anexos', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-08/cp_16-2025_eventos_associacoes_ii_anexos.docx'}, {'nome': 'Ato DEFA 206/2025: Inelegíveis', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-09/atodefa2062025cp162025eventosdasasiresultadodainelegibilidade.pdf'}, {'nome': 'Ato DEFA 216/2025: Elegíveis', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-10/atodefa2162025cp162025eventosdasasiresultadodaelegibilidade.pdf_-_atodefa2162025cp162025eventosdasasiresultadodaelegibilidade_1_1.pdf'}, {'nome': 'Ato DEFA 218/2025: Relevância', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-10/atodefa2182025cp162025eventosdasasiresultadodemeritoerelevancia.pdf_-_atodefa2182025cp162025eventosdasasiresultadodemeritoerelevancia.pdf'}, {'nome': 'Ato DEFA 224/2025: Resultado Final', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-10/atodefa2242025cp162025resultadofinal.pdf_-_atodefa2242025cp162025resultadofinal.pdf'}], 'fonte_original': 'https://www.fappr.pr.gov.br/Pagina/Programas-2025', 'tipo_chamada': 'CP 16/25'}"
CP 15/25. Proteínas Alternativas,https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-06/cp_15-2025_gfi.pdf,"A ""Chamada Pública 15/2025 - Programa de Fomento à Pesquisa em Proteínas Alternativas: Inovação e Sustentabilidade no Paraná"", objetiva fomentar pesquisas de acesso aberto e de alto impacto com foco em tecnologias acessíveis e escalonáveis de fermentação e cultivo celular para o desenvolvimento de ingredientes e produtos cárneos alternativos com melhor sabor, textura e custos reduzidos comparados aos disponíveis no mercado.",Fundação Araucária,,,Aberto,"{'anexos': [{'nome': 'CP 15/2025 - CP Proteínas Alternativas', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-06/cp_15-2025_gfi.pdf'}, {'nome': 'CP 15/2025 - Anexos', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-06/cp_15-2025_gfi_anexos.docx'}, {'nome': 'Ato DEFA 143/2025: Inclusão de Itens Financiáveis', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-07/atodefa1432025cp1525painclusaodeitemfinanciavel_0.pdf'}, {'nome': 'Ato DEFA 167/2025: Inelegível', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-08/atodefa1672025cp1525proteinasalternativasresultadodainelegibilidade.pdf_-_atodefa1672025cp1525proteinasalternativasresultadodainelegibilidade.pdf'}, {'nome': 'Ato DEFA 174/2025: Elegíveis', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-08/atodefa1742025cp152025proteinasalternativasresultadodaelegibilidade.pdf_-_atodefa1742025cp152025proteinasalternativasresultadodaelegibilidade.pdf'}, {'nome': 'Ato DEFA 197/2025: Relevância', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-09/atodefa1972025cp152025proteinasalternativasresultadodemeritoerelevancia.pdf_-_atodefa1972025cp152025proteinasalternativasresultadodemeritoerelevancia.pdf'}, {'nome': 'Ato DEFA 213/2025: Resultado Final', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-10/atodefa2132025cp152025proteinasalternativasresultadofinal.pdf_-_atodefa2132025cp152025proteinasalternativasresultadofinal.pdf'}], 'fonte_original': 'https://www.fappr.pr.gov.br/Pagina/Programas-2025', 'tipo_chamada': 'Chamada'}"
CP 14/25. SEURS,https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-05/cp_14-2025_seurs.pdf,"A ""Chamada Pública 14/2025 - Apoio Institucional para Participação na 43º edição do Seminário de Extensão Universitária da Região Sul – SEURS 2025"", objetiva a participação no 43º SEURS 2025 - Extensão e justiça socioambiental na transformação dos territórios, a ser realizado na UDESC, em Lages-SC.",Fundação Araucária,,,Aberto,"{'anexos': [{'nome': 'CP 14/2025 - CP SEURS', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-05/cp_14-2025_seurs.pdf'}, {'nome': 'CP 14/2025 - Anexos', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-05/cp_14-2025_seurs_anexos.docx'}, {'nome': 'Ato DEFA 111/2025: Elegíveis', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-06/atodefa1112025cp142025seurs2025resultadodaelegibilidade.pdf_-_atodefa1112025cp142025seurs2025resultadodaelegibilidade.pdf'}, {'nome': 'Ato DEFA 120/2025: Mérito e relevância', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-06/atodefa1202025cp142025seurs2025resultadodemeritoerelevancia.pdf_-_atodefa1202025cp142025seurs2025resultadodemeritoerelevancia.pdf'}, {'nome': 'Ato DEFA 128/2025: Resultado final', 'url': 'https://www.fappr.pr.gov.br/sites/fundacao-araucaria/arquivos_restritos/files/documento/2025-07/atodefa1282025cp142025seurs2025resultadofinal.pdf_-_atodefa1282025cp142025seurs2025resultadofinal.pdf'}], 'fonte_original': 'https://www.fappr.pr.gov.br/Pagina/Programas-2025', 'tipo_chamada': 'Chamada'}"
